Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;DIGI-U8T5;0C:41:E9:89:61:F0;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;1;0;0;0;0;0;;;Wed Aug 23 19:08:28 2023;Wed Aug 23 19:08:28 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;DIGI-S4Zd;14:18:2A:3A:87:E1;;1;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:28 2023;Wed Aug 23 19:08:28 2023;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;DIGI_1865c8;6C:D7:19:18:65:C8;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:28 2023;Wed Aug 23 19:08:28 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;1ec2aa13;F4:91:1E:C2:AA:13;;1;No;WPA2,AES-CCM;No;65.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:28 2023;Wed Aug 23 19:08:28 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;IONDEL;80:D4:A5:D1:DF:88;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:28 2023;Wed Aug 23 19:08:28 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;DIGI_709428;BC:C0:0F:70:94:28;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:28 2023;Wed Aug 23 19:08:28 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;C0:94:AD:3D:14:03;;7;No;None;No;-1.0;0;0;0;0;0;0;0;;;Wed Aug 23 19:08:29 2023;Wed Aug 23 19:08:29 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;HUAWEI-hAE9;2C:CF:58:9A:1D:D8;;7;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;3;0;1;0;0;1;;;Wed Aug 23 19:08:29 2023;Wed Aug 23 19:08:29 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;TSK;70:4D:7B:18:C3:20;;13;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:29 2023;Wed Aug 23 19:08:29 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;DIGI_88e250;CC:50:0A:88:E2:50;;2;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:08:29 2023;Wed Aug 23 19:08:29 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
