Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Simonamt1;80:8C:97:2F:A1:3D;;3;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Wed Aug 23 19:13:18 2023;Wed Aug 23 19:13:19 2023;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;DIGI-U8T5;0C:41:E9:89:61:F0;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:13:18 2023;Wed Aug 23 19:13:18 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;DIGI-N3Gb;94:00:B0:5E:59:3C;;1;No;WPA2,WPA,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:13:18 2023;Wed Aug 23 19:13:18 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;IONDEL;80:D4:A5:D1:DF:88;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:13:18 2023;Wed Aug 23 19:13:18 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;HUAWEI-hAE9;2C:CF:58:9A:1D:D8;;7;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:13:18 2023;Wed Aug 23 19:13:18 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Telekom-hqKMxl;F4:6B:EF:7C:EB:14;;13;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:19 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;DIGI_88e250;CC:50:0A:88:E2:50;;2;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:19 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Orange-46aG-2.4G;20:65:8E:83:BA:98;;8;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:19 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;1E:3B:F3:A3:D9:26;;8;No;WPA2,AES-CCM;No;540.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:19 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Tenda_CFC090;58:D9:D5:CF:C0:91;;8;No;WPA2,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:19 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;DIGI-F2Nz;18:CF:24:6E:0F:78;;8;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;6;0;0;6;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:19 2023;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;DIGI_88f3e0;CC:50:0A:88:F3:E0;;3;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:13:19 2023;Wed Aug 23 19:13:20 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
