LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-23 19:13:18,1900-01-00 00:00:00,,30:D1:7E:55:F6:34,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,EA:48:B8:21:2F:C8,-83, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,80:8C:97:2F:A1:3D,-57, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,6C:D7:19:18:65:C8,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,0C:41:E9:89:61:F0,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,34:0A:98:7E:BD:84,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,94:00:B0:5E:59:3C,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,80:D4:A5:D1:DF:88,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,C4:5B:BE:E5:60:6A,-69,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:18,1900-01-00 00:00:00,,F8:D1:11:8F:D0:EC,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,IONDEL,80:D4:A5:D1:DF:88,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,DIGI-U8T5,0C:41:E9:89:61:F0,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,F4:91:1E:C2:AA:13,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,DIGI-N3Gb,94:00:B0:5E:59:3C,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,IONDEL,80:D4:A5:D1:DF:88,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,FA:14:4E:C9:B4:3D,-73,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:18,1900-01-00 00:00:00,,2C:CF:58:9A:1D:D8,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,,C4:44:7D:2A:96:B8,-76, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,HUAWEI-hAE9,2C:CF:58:9A:1D:D8,-81, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:18,1900-01-00 00:00:00,HUAWEI-hAE9,2C:CF:58:9A:1D:D8,-82, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,70:4D:7B:18:C3:20,-83, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,F4:6B:EF:7C:EB:14,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,Telekom-hqKMxl,F4:6B:EF:7C:EB:14,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,10:27:F5:EA:72:C4,-84,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:19,1900-01-00 00:00:00,Simonamt1,80:8C:97:2F:A1:3D,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,40:7D:0F:95:78:F0,-90, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,CC:50:0A:88:E2:50,-73, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,58:D9:D5:DD:FF:A1,-89, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,DIGI_88e250,CC:50:0A:88:E2:50,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,20:65:8E:83:BA:98,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,1E:3B:F3:A3:D9:26,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,58:D9:D5:CF:C0:91,-77, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,18:CF:24:6E:0F:78,-54, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,,1E:3B:F3:A3:D9:26,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:19,1900-01-00 00:00:00,Tenda_CFC090,58:D9:D5:CF:C0:91,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
