Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;TLK2.4;98:DE:D0:DD:A0:FE;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Telekom-hqKMxl;F4:6B:EF:7C:EB:14;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;10:27:F5:CD:B3:81;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DIGI-U8T5;0C:41:E9:89:61:F0;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DIGI-N3Gb;94:00:B0:5E:59:3C;;1;No;WPA2,WPA,AES-CCM;No;360.0;0;2;0;1;0;0;1;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;IONDEL;80:D4:A5:D1:DF:88;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;HUAWEI-hAE9;2C:CF:58:9A:1D:D8;;7;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:15:19 2023;Wed Aug 23 19:15:19 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
