LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-23 19:08:46,1900-01-00 00:00:00,,50:02:91:BE:F2:07,-78,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:46,1900-01-00 00:00:00,,44:07:0B:84:C8:32,-88,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:46,1900-01-00 00:00:00,,0C:41:E9:FB:CC:C8,-69, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,28:A6:DB:E8:F9:C8,-90, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,6C:D7:19:18:65:C8,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,0C:41:E9:89:61:F0,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,94:00:B0:5E:59:3C,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,D4:46:49:7C:D8:38,-88, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,80:D4:A5:D1:DF:88,-91, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,30:D1:7E:DF:6C:C4,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,F8:D1:11:8F:D0:EC,-83, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,98:DE:D0:DD:A0:FE,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,BC:C0:0F:70:94:28,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,DIGI_1865c8,6C:D7:19:18:65:C8,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,F4:91:1E:C2:AA:13,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,DIGI-N3Gb,94:00:B0:5E:59:3C,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,DIGI-q76T,D4:46:49:7C:D8:38,-88, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,,3A:1C:A8:B0:5C:F3,-87,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:46,1900-01-00 00:00:00,TP-LINK_8FD0EC,F8:D1:11:8F:D0:EC,-83, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,DIGI_709428,BC:C0:0F:70:94:28,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,DIGI-m9pw,28:A6:DB:E8:F9:C8,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:46,1900-01-00 00:00:00,DIGI_1865c8,6C:D7:19:18:65:C8,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
