Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;TLK2.4;98:DE:D0:DD:A0:FE;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:52 2023;Wed Aug 23 19:08:53 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;DIGI_709428;BC:C0:0F:70:94:28;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:52 2023;Wed Aug 23 19:08:53 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;DIGI-m9pw;28:A6:DB:E8:F9:C8;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:52 2023;Wed Aug 23 19:08:53 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DIGI_1865c8;6C:D7:19:18:65:C8;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:53 2023;Wed Aug 23 19:08:53 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DIGI-N3Gb;94:00:B0:5E:59:3C;;1;No;WPA2,WPA,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:53 2023;Wed Aug 23 19:08:53 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;C0:94:AD:3D:14:03;;7;No;None;No;-1.0;0;0;0;0;0;0;0;;;Wed Aug 23 19:08:53 2023;Wed Aug 23 19:08:53 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
