Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;DIGI-m9pw;28:A6:DB:E8:F9:C8;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:46 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;DIGI_1865c8;6C:D7:19:18:65:C8;;1;No;WPA2,AES-CCM;No;270.0;0;3;0;0;0;0;0;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:46 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;DIGI-N3Gb;94:00:B0:5E:59:3C;;1;No;WPA2,WPA,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:46 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DIGI-q76T;D4:46:49:7C:D8:38;;1;No;WPA2,WPA,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:46 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;TP-LINK_8FD0EC;F8:D1:11:8F:D0:EC;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:46 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;DIGI_709428;BC:C0:0F:70:94:28;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:46 2023;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;DIGI-F2Nz;18:CF:24:6E:0F:78;;8;No;WPA2,WPA,AES-CCM;No;130.0;0;2;0;2;0;0;2;;;Wed Aug 23 19:08:46 2023;Wed Aug 23 19:08:47 2023;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;HUAWEI-hAE9;2C:CF:58:9A:1D:D8;;7;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:47 2023;Wed Aug 23 19:08:47 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;DIGI_88e250;CC:50:0A:88:E2:50;;2;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Aug 23 19:08:47 2023;Wed Aug 23 19:08:47 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;E8:6E:44:09:91:D0;;2;No;None;No;-1.0;0;0;0;0;0;0;0;;;Wed Aug 23 19:08:47 2023;Wed Aug 23 19:08:47 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
