LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-23 19:08:52,1900-01-00 00:00:00,,D8:07:B6:0B:CA:32,-83, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:52,1900-01-00 00:00:00,,94:37:F7:EE:93:64,-84,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:52,1900-01-00 00:00:00,,D8:47:32:A2:25:A2,-90, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:52,1900-01-00 00:00:00,,98:DE:D0:DD:A0:FE,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:52,1900-01-00 00:00:00,,BC:C0:0F:70:94:28,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:52,1900-01-00 00:00:00,,28:A6:DB:E8:F9:C8,-87, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,6C:D7:19:18:65:C8,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,30:D1:7E:DF:6C:C4,-89, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,94:00:B0:5E:59:3C,-84, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,12:27:F5:ED:B3:81,-90, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,80:D4:A5:D1:DF:88,-90, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,TLK2.4,98:DE:D0:DD:A0:FE,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,DIGI_709428,BC:C0:0F:70:94:28,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,DIGI-m9pw,28:A6:DB:E8:F9:C8,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,0C:41:E9:89:61:F0,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,DIGI_1865c8,6C:D7:19:18:65:C8,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,F4:91:1E:C2:AA:13,-85, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,DIGI-N3Gb,94:00:B0:5E:59:3C,-85, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,F8:D1:11:8F:D0:EC,-88, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:08:53,1900-01-00 00:00:00,,7A:A0:7E:A1:E5:37,-85,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:53,1900-01-00 00:00:00,,7A:A0:7E:A1:E5:37,-84,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:53,1900-01-00 00:00:00,,C4:5B:BE:E5:60:6A,-70,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:53,1900-01-00 00:00:00,,7A:A0:7E:A1:E5:37,-84,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:53,1900-01-00 00:00:00,,7A:A0:7E:A1:E5:37,-85,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:08:53,1900-01-00 00:00:00,,2C:CF:58:9A:1D:D8,-84, ,0.000000,0.000000,0.000,0.000,AP
